Initial Velocity,Extension Lookup Table
84.0,"[[0.0, 325.82969542099045], [0.1, 321.7777022340651], [0.2, 321.1576552858216], [0.3, 318.37913634404936], [0.4, 317.4081791566027], [0.5, 313.4712679170098], [0.6, 310.84468926632843], [0.7, 308.2345536069352], [0.8, 303.8002928863364], [0.9, 303.63052423893674], [1.0, 302.4579799714078]]"
83.0,"[[0.0, 317.2559454977912], [0.1, 313.8882680923617], [0.2, 314.334657533047], [0.3, 311.64400930268886], [0.4, 307.33505680046505], [0.5, 304.2240604045843], [0.6, 305.062597343534], [0.7, 301.8179352060924], [0.8, 298.5909107254581], [0.9, 297.16737116078275], [1.0, 293.1719885451779]]"
82.0,"[[0.0, 308.05075845675674], [0.1, 307.45843122278336], [0.2, 306.92647241202235], [0.3, 303.29140788365186], [0.4, 300.8215691753965], [0.5, 299.5098818345379], [0.6, 298.0784675761312], [0.7, 294.89928667547656], [0.8, 294.65361206858734], [0.9, 289.4041440091855], [1.0, 287.79134298425697]]"
81.0,"[[0.0, 304.4505351546286], [0.1, 299.89695749345645], [0.2, 298.882561829583], [0.3, 296.64162947185434], [0.4, 292.9557719224749], [0.5, 293.42287564891336], [0.6, 293.47028313381884], [0.7, 288.8806287626692], [0.8, 288.8910202059064], [0.9, 284.0174695361868], [1.0, 281.6825710715175]]"
80.0,"[[0.0, 297.4814888568439], [0.1, 295.37449221535906], [0.2, 291.97147790268025], [0.3, 291.6738154166242], [0.4, 287.9800943332848], [0.5, 286.4906405117302], [0.6, 285.32309212804734], [0.7, 282.78185411819777], [0.8, 281.2612143873474], [0.9, 279.68184153682773], [1.0, 276.628740038437]]"
79.0,"[[0.0, 292.75678701121836], [0.1, 290.1420291974704], [0.2, 285.3801527714253], [0.3, 286.6126035327192], [0.4, 281.72359125403625], [0.5, 278.52245556960014], [0.6, 279.27530890570085], [0.7, 276.47723493143695], [0.8, 276.85190513845725], [0.9, 273.3822249221519], [1.0, 270.7364870230345]]"
78.0,"[[0.0, 282.8480698704013], [0.1, 280.9324824115159], [0.2, 280.18766995487704], [0.3, 279.523456693649], [0.4, 274.1184044834873], [0.5, 273.78220613003225], [0.6, 271.22945434641827], [0.7, 269.7482361773342], [0.8, 268.6712370228396], [0.9, 268.64258952039927], [1.0, 264.75846052706515]]"
77.0,"[[0.0, 275.6370556056751], [0.1, 275.11079074778826], [0.2, 273.11427785140796], [0.3, 273.7742131743836], [0.4, 270.35150792874174], [0.5, 268.7231051046673], [0.6, 267.6512083420489], [0.7, 263.05409132839316], [0.8, 262.46729365211417], [0.9, 261.2627333353394], [1.0, 260.41741704788996]]"
76.0,"[[0.0, 270.64127374750495], [0.1, 270.6428258875121], [0.2, 266.4173210604768], [0.3, 266.69690170506317], [0.4, 260.8403199570197], [0.5, 262.53396623860175], [0.6, 259.5290851866483], [0.7, 259.02563033105565], [0.8, 257.76410089843864], [0.9, 255.73268324379768], [1.0, 251.6423007173309]]"
75.0,"[[0.0, 262.10231585172426], [0.1, 264.32988226964386], [0.2, 260.8617220287936], [0.3, 257.8410300533344], [0.4, 258.6957897212695], [0.5, 255.2460150112525], [0.6, 252.1273612099829], [0.7, 251.5947806072043], [0.8, 250.77225074463735], [0.9, 250.6505201348184], [1.0, 248.43973189850806]]"
74.0,"[[0.0, 256.2134604383076], [0.1, 256.0997260227283], [0.2, 255.25859534361217], [0.3, 249.99233971048716], [0.4, 249.48514754977367], [0.5, 250.182017855146], [0.6, 245.87062556320132], [0.7, 248.5569113249055], [0.8, 245.30831421600874], [0.9, 243.77412626089648], [1.0, 241.47328842918773]]"
73.0,"[[0.0, 250.65371602199417], [0.1, 249.34602541283323], [0.2, 247.96417578255108], [0.3, 248.0781305864395], [0.4, 245.22971041498698], [0.5, 244.90178788166259], [0.6, 242.86643257317508], [0.7, 243.18147853477598], [0.8, 236.95830337845615], [0.9, 238.48678631772663], [1.0, 235.45330963631432]]"
