Initial Velocity,Extension Lookup Table
18.0,"[[0.0, 16.629469173034636], [0.1, 16.626780806816555], [0.2, 15.845605017995354], [0.3, 16.60522520173538], [0.4, 15.716017764159574], [0.5, 16.606632272414913], [0.6, 16.779613645748668], [0.7, 16.58233610511138], [0.8, 15.967860030201223], [0.9, 16.409402181410655], [1.0, 16.008752235301927]]"
17.0,"[[0.0, 14.924933141493057], [0.1, 14.336361565972766], [0.2, 14.262717133445562], [0.3, 14.837169746918903], [0.4, 14.07823227764709], [0.5, 14.184446612560464], [0.6, 14.83716459384732], [0.7, 14.842253585237245], [0.8, 14.53414857139785], [0.9, 14.9827661072934], [1.0, 14.357505097348394]]"
16.0,"[[0.0, 12.8953729401494], [0.1, 13.389327355244063], [0.2, 13.26045465113964], [0.3, 13.198381256954008], [0.4, 12.485283295046315], [0.5, 13.18417568720713], [0.6, 13.269119202815205], [0.7, 12.416328215608814], [0.8, 12.692149446478425], [0.9, 13.221159713673273], [1.0, 13.300640831351416]]"
15.0,"[[0.0, 11.477491165106699], [0.1, 10.89149768788593], [0.2, 11.844117725587921], [0.3, 11.179456651191913], [0.4, 10.997288615050365], [0.5, 11.228049451378297], [0.6, 10.883607498665128], [0.7, 11.885296229896312], [0.8, 11.107687678309958], [0.9, 10.873748818884224], [1.0, 11.60907806893124]]"
14.0,"[[0.0, 10.238696810138663], [0.1, 9.804025129852107], [0.2, 9.634610988681857], [0.3, 9.940947344711617], [0.4, 10.252855182662302], [0.5, 9.637274500390504], [0.6, 10.164057197993316], [0.7, 10.172758575709622], [0.8, 10.238152356866863], [0.9, 9.492172815557637], [1.0, 10.0573700438988]]"
13.0,"[[0.0, 8.555300782488644], [0.1, 8.160068145942319], [0.2, 8.808953791575846], [0.3, 8.35747880136671], [0.4, 8.440812130123277], [0.5, 8.236685934126058], [0.6, 8.282269830068572], [0.7, 8.805041519664883], [0.8, 8.672795560929444], [0.9, 8.780132723482552], [1.0, 8.62412169571519]]"
12.0,"[[0.0, 7.626554808612013], [0.1, 7.544297080524302], [0.2, 6.997293434360813], [0.3, 7.535466800234758], [0.4, 7.906552381977576], [0.5, 6.943644062808289], [0.6, 7.4496063691602785], [0.7, 6.93724161024204], [0.8, 6.9357748220113535], [0.9, 7.123664871674009], [1.0, 7.120910559420736]]"
11.0,"[[0.0, 5.975877013092827], [0.1, 6.013209072070822], [0.2, 5.887027957263058], [0.3, 6.544612487547511], [0.4, 5.822208203516311], [0.5, 5.980870719026711], [0.6, 5.99973549364438], [0.7, 6.579917506768425], [0.8, 5.862159970915627], [0.9, 6.004133211689009], [1.0, 5.815859206127698]]"
10.0,"[[0.0, 4.980930553532062], [0.1, 4.801529889580479], [0.2, 5.307971623022013], [0.3, 4.903370662209909], [0.4, 5.072375824197934], [0.5, 5.200092446406188], [0.6, 5.051744362800605], [0.7, 5.38492048625983], [0.8, 5.066251956426868], [0.9, 5.293303671237027], [1.0, 5.010741099147253]]"
9.0,"[[0.0, 4.04295386190347], [0.1, 3.924399018442955], [0.2, 4.459985417698363], [0.3, 3.9604058459600537], [0.4, 3.9300766958311897], [0.5, 4.022056964134322], [0.6, 4.206916351650079], [0.7, 3.903237163707672], [0.8, 3.89791384489547], [0.9, 3.9154656462563935], [1.0, 4.0716691504457]]"
8.0,"[[0.0, 3.1911966272639347], [0.1, 3.104060565667851], [0.2, 3.308175188781547], [0.3, 3.1053291470708473], [0.4, 3.128819447370006], [0.5, 3.2739793200124723], [0.6, 3.0951922341126874], [0.7, 3.1801120682035844], [0.8, 3.052362154048069], [0.9, 3.561049696212308], [1.0, 3.0544094423642036]]"
7.0,"[[0.0, 2.357786553798519], [0.1, 2.52693196964276], [0.2, 2.7784857103146123], [0.3, 2.3258216452474016], [0.4, 2.327763537276496], [0.5, 2.5741802624671664], [0.6, 2.6835427917110337], [0.7, 2.583473504919084], [0.8, 2.360944906738041], [0.9, 2.6432676194143596], [1.0, 2.3276068911040966]]"
6.0,"[[0.0, 1.6987152113854336], [0.1, 1.9423383366416829], [0.2, 1.699303300312522], [0.3, 2.0575593385877937], [0.4, 1.8501343538508763], [0.5, 1.690864722801848], [0.6, 1.6008790737224672], [0.7, 1.7461629260258178], [0.8, 1.8442525423499774], [0.9, 1.8417663014915888], [1.0, 1.7217372209464656]]"
5.0,"[[0.0, 1.0677497575585448], [0.1, 1.495095780569386], [0.2, 1.1677421525640739], [0.3, 1.0794405352312424], [0.4, 1.1300025212516402], [0.5, 1.217707705246994], [0.6, 1.1686367106510716], [0.7, 1.1693990653980109], [0.8, 1.3057720445003724], [0.9, 1.2455645916040794], [1.0, 1.2413945510105577]]"
4.0,"[[0.0, 0.8377472168277791], [0.1, 0.736022246375228], [0.2, 0.9244151763894024], [0.3, 0.7710625890099436], [0.4, 0.9416624333470054], [0.5, 0.7405671908098839], [0.6, 0.7715190402203689], [0.7, 0.7376684253197254], [0.8, 0.9398489491403552], [0.9, 0.7370763836177048], [1.0, 0.6486139070563013]]"
3.0,"[[0.0, 0.4221892314297975], [0.1, 0.41770268170296276], [0.2, 0.40102041673151234], [0.3, 0.4084114278691686], [0.4, 0.4013976435820723], [0.5, 0.4756903246652655], [0.6, 0.4517503239213738], [0.7, 0.5643275529513403], [0.8, 0.40872481340159084], [0.9, 0.4238641092678108], [1.0, 0.44744910524866555]]"
2.0,"[[0.0, 0.19955131998165143], [0.1, 0.16453417673437798], [0.2, 0.17936628016650502], [0.3, 0.1652610607867473], [0.4, 0.18988934497201626], [0.5, 0.1834613678089454], [0.6, 0.18731798265662292], [0.7, 0.16410395546370182], [0.8, 0.18831464597701597], [0.9, 0.16524591198037797], [1.0, 0.1804314172161412]]"
1.0,"[[0.0, 0.02135630226189278], [0.1, 0.0030209155241891494], [0.2, 0.024764746627965906], [0.3, 0.025759473797734245], [0.4, 0.03791897259259258], [0.5, 0.02561948782795298], [0.6, 0.045177143618275295], [0.7, 0.06541507818940318], [0.8, 0.043806857935123844], [0.9, 0.024935353098953783], [1.0, 0.07388670403031483]]"
