Initial Velocity,Extension Lookup Table
103.41006756396636,430.8664146032287
103.07442592345659,428.2159071887179
102.45777937058077,424.2584940103876
101.66077323346582,419.1473167945828
100.86859662608167,414.0759905155443
100.0811685850161,409.04427359017063
99.29848585883039,404.0519282243921
98.52062201622458,399.09871692399975
97.74748313850365,394.1843993387587
96.97896834931818,389.308738814708
96.21497069259172,384.4715045086429
95.45540534876626,379.67247035564924
94.70021216296591,374.91141471755725
93.9493310627931,370.18811900774847
93.20267542358562,365.50236762877535
92.46014265524273,360.85394958070435
91.72166086405633,356.2426586306884
90.9871418230003,351.66829212565466
90.25661574512169,347.13065157778647
89.53004847240011,342.6295376389212
88.80743996173827,338.1647518612334
88.08874945415837,333.73609684207247
87.3738821237438,329.34337661406323
86.66275378600726,324.9864000374145
85.95530043494324,320.6649801149641
85.25145988575234,316.37893309755015
84.5511522662911,312.1280783852669
83.85432394430484,307.91223937025376
83.16090066500038,303.73124214095685
82.47081777340222,299.5849163032112
81.78409805046904,295.4730946848603
81.10068497567144,291.39560931016797
80.4205744294035,287.3522944594018
79.74377304672021,283.34298528312553
79.07020330540026,279.3675164446326
78.3998149074411,275.4257261938136
77.73254394862559,271.51745569829166
77.06832565983775,267.6425489901796
76.40711721960872,263.8008533528133
75.74887500879011,259.99221831665614
75.09351379053848,256.21649566892097
74.44096769256296,252.47354144678047
73.79120982128822,248.7632148044226
73.14416657204553,245.08537628748104
72.4998194411242,241.43988996605833
71.85823868299073,237.82662087091308
71.21943834582123,234.2454308503423
70.58345189315344,230.69618066252968
69.95016372375521,227.17873058033746
69.31945448466823,223.69294532881747
68.69127200332771,220.23869574305752
68.06561992437655,216.81585529304994
67.44246469806093,213.42429772618016
66.82174672169089,210.06389808295023
66.20335766572566,206.73453478756954
65.58724924381923,203.4360913237412
64.97342052047115,200.16845346788784
64.36186323096071,196.93150707757525
63.75259760983336,193.72513847741857
63.14569814343501,190.54923294874771
62.5411340824866,187.40367267318817
61.9388067893172,184.28834084586043
61.3386817216202,181.20312542541478
60.740707766892434,178.14791656054604
60.338097785675,175.91797422161557
59.9665547888907,173.87069440736798
59.60770245722041,171.90299268030213
59.21665195030944,169.76941086338127
58.672554550270924,166.81903917994157
58.129418897462344,163.8958711992036
57.680714493865864,161.49783221189273
57.139289744414235,158.62425220824474
56.59880324036296,155.7777427146475
56.05924968413051,152.9582575589268
55.52060902310738,150.1657502988706
54.982926843399376,147.4001746640355
54.44615131073493,144.66148360954128
53.910254442074915,141.94963189787114
53.37521630395825,139.26457566418458
52.84104029011011,136.60627155693055
52.30772105252706,133.97467603651592
51.77525171884777,131.36974616528107
51.24361523589677,128.79143943432132
50.712759538595854,126.23971455920872
50.18273175240142,123.71453171233941
49.65353870323965,121.21584959655792
49.12516275328629,118.74362686163414
48.59759460564919,116.29782288190012
48.07083374084378,113.87839715994761
47.54484343670986,111.48530938691391
47.019622144128796,109.11852068715734
46.49516881903192,106.77799256215422
45.97145850745463,104.46368675982325
45.44848147276812,102.17556597316451
44.926255053145624,99.91359347021626
44.40475256046099,97.67773223712715
43.88393568426946,95.46794598972878
43.36382811196641,93.28419990194669
42.844426119783385,91.12645874254838
42.32569689984451,88.99468747232578
41.80763204160454,86.88885222076863
41.2902369799971,84.80891975205458
40.77350150552825,82.75485708031914
40.257412667294325,80.72663136136822
39.74196946441708,78.72420985945348
39.22716977071193,76.74756020551467
38.71299941909124,74.79665025650883
38.1994174048342,72.87144868563485
37.68642346573354,70.97192588328909
37.17404395468695,69.09805246832371
36.66224870555974,67.24979813485419
36.15101010039743,65.4271335416189
35.6403046952412,63.630030954892845
35.13017401673769,61.85846297530736
34.620561755361656,60.112401436429195
34.11149253435318,58.39181987630286
33.808428161227575,57.37879486762802
33.3542787796974,55.87618377405363
32.84665258529676,54.218910413928256
32.339562312866214,52.58701833913494
31.83298741776231,50.9804807906022
31.32692495380352,49.3992718288913
30.821356499255188,47.843365979901705
30.31628764114826,46.31273848455578
29.811675038263417,44.80736474145283
29.307525083115735,43.32722166339386
28.803866717011267,41.87228609801912
28.30067295545426,40.44253361208882
27.797929074439384,39.037940887001696
27.295638356743417,37.65848538877344
26.7937839633034,36.30414447336523
26.29236189128027,34.97489617798112
25.79137605050282,33.670718913484166
25.290813052626703,32.391591015272866
24.79066515010481,31.137491303684214
24.290923933401633,29.90839912326146
23.79157269851351,28.704294274937183
23.292602461464973,27.525157168290207
22.794009580737857,26.370968642369576
22.295783143897648,25.24170995670022
21.797914327664422,24.137362778816623
21.30040600928671,23.05790912251257
20.803238397565455,22.00333112826786
20.306402433891904,20.97361151802295
19.809896062087528,19.96873359354163
19.313714484101116,18.98868102074573
18.817854413210227,18.033437608149484
18.322302638382997,17.1029873814075
17.82704681617127,16.197314907936516
17.332081926028053,15.316405244342036
16.83739946815841,14.46024380508004
16.3429956084139,13.628816496100512
15.848864036935332,12.822109433973765
15.354990364075867,12.040109014663926
14.861368282933654,11.282802296911882
14.36799169663499,10.55017672211386
13.874863684441221,9.842219943165787
13.38197630103188,9.158919615681953
12.889316091675825,8.500263729029712
12.396869374624703,7.866240920445762
11.904633337180615,7.25684045515402
11.41260412528011,6.672051824699224
10.920773339610673,6.111864692401582
10.42913108456588,5.576269157075103
9.937667755423108,5.065255786793273
9.446379052820147,4.578815596959885
8.955256543936253,4.116939891634047
8.464288651013836,3.6796203730702928
7.97347023458661,3.2668493001737033
7.482794765079985,2.8786192199823972
6.992248148823472,2.5149229682600662
6.501819241182362,2.1757540650328338
6.011501019654435,1.8611066799978744
