velocity,airbrakes_0.0,airbrakes_0.1,airbrakes_0.2,airbrakes_0.3,airbrakes_0.4,airbrakes_0.5,airbrakes_0.6,airbrakes_0.7,airbrakes_0.8,airbrakes_0.9,airbrakes_1.0
38,72.10178896350328,71.82826414595945,71.57318455768905,71.69594178164189,71.85017725209701,71.95268982710797,71.4087435991197,70.03514599547884,70.06386105588044,69.66898753011978,70.30413808927139
39,75.40187885607475,74.71092548059073,75.4239750519829,75.55478787417704,75.71833511611604,74.84641297539349,75.27525413260963,73.86901010753988,73.90313471033932,73.5027880306051,74.16017632211572
40,78.95633653027943,78.64052536115315,79.37884319221783,79.51807756321037,78.68513873504827,77.80622495429432,78.24154382862821,77.80960826202988,77.8495401224418,77.44438438723023,78.12455645716327
41,82.99254218007371,82.67362360417923,83.4380389665676,83.58617158032305,81.71779045077369,81.84112339927324,81.2744834668882,81.857334893732,81.9035998318549,81.49427261814628,81.16587486280957
42,87.13209314090642,86.81055448800589,87.60183607890656,86.70297713461252,85.8494055721134,85.9826797287619,85.40761451595498,86.01260673185791,86.06587204001178,85.6529334401439,84.275550830475
43,91.37524602540651,91.05167476078941,91.87049634226989,89.88575158070836,90.08708407068772,90.23134806707847,89.64823273611833,90.27587962123195,89.25553020841602,88.84020453001096,88.5134114958534
44,95.72227635210481,95.39734607131481,95.13770130297172,94.21774371495454,94.43126940932063,94.58745278441711,93.99678528756203,93.54111912797333,92.51345694676675,92.0960662714713,92.86183612752563
45,100.17346430707502,99.84796894724548,98.4707924253996,98.65607297537022,98.88242961085894,99.05133069074537,98.45368609312146,96.87443763088115,96.94881993614504,96.52912187494104,97.32153063468985
46,104.72908425092334,104.40389424315961,103.00303968946145,103.20112785357853,103.44102598207579,102.46678722406796,103.01936656552843,101.41005178256961,101.4944600781867,101.07301847933488,100.73622855922594
47,109.3894210823266,109.0654080387342,107.6414149251977,107.85326666827655,108.10750326031268,105.94999151319885,106.51189460901185,106.05563049941165,106.1509563910221,105.72841507750348,104.22122015532216
48,114.15477797532759,113.83282428376486,112.38641424367816,112.61283247443757,111.67502961504931,110.68489803822803,110.07300928663207,110.81177658533267,109.71293497905504,109.29003370947794,108.96209813543163
49,119.02546689525718,117.47478433015294,117.23853927228484,117.48019495178411,115.31047199993122,115.529005238145,114.91303675090802,114.4483298744965,113.34484410787445,112.9221281605497,113.8166289967871
50,122.74448972939251,121.18333631547992,122.19826012386011,121.1983153804236,120.24861528491971,120.48287203495457,119.86382470877643,118.15467916548184,118.28110159327306,117.85941058304832,117.52888894248451
51,126.52969412989205,126.21710599151834,127.26598354280304,124.98430307433904,125.29624622446272,125.54712011913043,124.92593989937538,123.1900322108587,123.330352694429,122.91069273116528,121.31286343604566
52,131.66511298964838,131.3580105504935,131.13444987747545,130.1231443862898,130.45381931650977,129.4146542769269,128.79242475995994,128.3382210562789,128.49323932329617,126.77080163909528,126.45430752517484
53,136.90700259199585,136.60639931974046,135.0707091989931,135.3714472007079,134.39097665305252,133.35192054820405,132.72912716832963,133.59984773948844,132.4367994325085,130.70295487363495,131.71181266088496
54,142.25570287724256,141.96260159650484,140.40965913683752,140.7297143870614,138.39736621380834,138.69506708414798,138.07212314045643,137.61729519993952,136.45214787993376,136.04243076622245,135.72794247307672
55,147.71156466080376,147.4270184298043,145.8576918821439,144.81738502489537,143.83189727990603,144.15088144927705,143.52857173891385,141.70632301589694,141.90220933542915,141.49849939080084,139.81758826109956
56,153.27494667503157,151.5932160192092,151.4152771385026,148.97425750653528,149.37818611977397,148.31345791168962,147.69221360320506,147.25428985154207,146.06232147227183,145.6638502580127,145.36920461731512
57,158.44257110841332,155.82752539752013,155.6522270938031,154.6093588460891,155.03686427080348,152.54702292243263,151.92754340027233,151.4875346403495,150.2954451281582,149.90292824403278,149.60749010582708
58,164.03591947771648,161.5644060484381,159.95824579276493,160.3560301686349,159.35146524315877,158.28677613292615,157.67070510955793,155.79343474725565,156.0375903849261,155.6539486795533,153.92092641271464
59,168.4287559954074,167.41107037928214,165.79209478077962,166.21483422564884,163.7370319375518,164.1409879467861,163.52972264861796,161.6320646719709,161.89809033074067,160.04182017891014,159.77306995024293
60,172.88964006836,173.36795479734747,171.73741287807738,170.67937151672538,169.67956226832186,168.60352025340387,167.99677896883446,167.5883412044573,166.3679299507071,164.50482034177523,164.23822817137972
61,178.92850727234523,177.904737456472,177.79476081442797,175.2147118143727,175.73672673215566,173.1383061857283,172.53701041321523,172.12956489436186,170.91269568313226,170.55640021106592,168.77985912592595
62,185.07364232356545,182.51088884587625,182.4080774293369,181.35670067779716,180.35154274134652,179.28159319241573,178.68869303949947,176.74525801618412,175.5176941574058,175.17124170040472,173.38298753720767
63,190.5799326711091,188.74524968891745,187.09194428082327,187.6130410509879,185.0385922615641,185.5418741870373,183.37631390447422,182.99940002103395,180.1983491085453,179.862753671346,178.06341671199846
64,196.0633510752765,195.0914163507515,193.43152649435984,192.37704241560226,191.38469217064505,190.31064042713945,188.13820894518364,187.76528417100803,186.540683272842,184.61593751866025,184.40777826122542
65,202.51458730891576,201.54982604672702,199.8848164249947,197.21304075184693,196.21707413794718,195.15336405189552,194.58707581803787,192.60688899964575,191.37393870697645,189.4466260937434,189.2443898795765
66,209.07699259312486,206.4640267920343,204.79611424091576,203.7573770672814,201.1226533995033,201.70950291771575,199.49894316773134,199.16397147141097,196.28421360663253,195.99155396669954,194.15996335056673
67,214.0685289351,211.4488894072611,209.77902685128913,210.41786979944428,207.76156299689868,206.7012960106992,204.48658138037507,204.15841066964492,202.93468179966516,200.9787179006526,199.13918363575283
68,219.13004048016728,218.1900366354704,216.51882231635327,215.48623446999773,214.51892909590447,211.76812300893926,211.23837085181768,209.22998378103108,208.00061882040785,206.04494774523786,204.19863778011785
69,225.9446963563052,225.04533976937662,223.37427363527985,220.62800062277375,219.66143670271265,218.624509653369,216.3787815733928,214.36361286229197,213.14525783595494,211.17487152477366,209.3227985732844
70,231.60080930857814,230.2585207137103,228.58854935437205,227.58212127147388,224.87889184427442,223.84268080716203,221.5961857697366,219.5752841576708,218.35326072277138,216.385019632179,214.5283717495801
71,237.80755259076705,235.54369026479097,233.87592304365106,232.8719228952072,231.93600984936649,229.13722065834423,226.87548831182636,226.62904951567458,223.64094343607192,221.65983076900466,221.57843425948127
72,244.26187026312382,242.6868680972666,241.02367707152294,238.23631656684486,237.3045462223617,234.49317987781944,232.2325842175413,231.998510728219,228.99275425431335,227.01605444290084,226.94846995923348
73,251.0053789120442,249.94599047633474,246.45820490217704,245.48876075994096,242.74910825409412,239.9263238989159,239.47978836875006,237.44760983025816,234.42522230695835,232.43784433437776,232.40164855909015
74,256.7438975149978,255.4630569247674,251.96672537183548,251.0033187922715,248.25473844689247,247.27407283770646,244.99398213467015,242.96079857406727,241.7768942874538,237.94210828048074,237.92180209643192
75,263.55622621287193,261.05317257435524,259.410429853103,256.59344481080086,253.83707012912072,252.86299025709224,250.58758850950082,248.55459479666226,247.3725117160053,243.5127541706214,241.6468315144648
76,271.1082557891376,268.60456772457985,265.06776260430655,264.1482034363959,261.3831297629447,258.5305091547799,256.24515841455496,254.21325104329657,253.05064985612006,249.16691124548362,247.3022914558562
77,276.8446791187763,274.3418935873635,270.80005835863585,269.89060143946796,267.1203700084501,264.26124233084744,261.9832051528818,259.9534957468926,258.7952301707538,254.8883537162668,253.02613867154236
78,282.65380233756275,280.15338354354145,278.54369378985797,275.709848647759,272.93590853291886,270.0714008079143,267.78601456428373,265.75946495494543,264.62340398403296,260.69451847049277,258.8362297321685
79,290.4918027245763,288.0013695477321,284.4272928106806,281.5909232409535,278.814459528533,277.92486608304847,273.6701716571351,271.6481825588154,270.5189152557139,266.5690036728305,264.71593570753
80,296.76836536099773,293.9621277135086,290.3872659472446,287.54965282442816,284.7721452732029,283.89538397196026,279.61972744826284,277.6035977532266,274.494425814274,272.52964958959643,270.68339241148027
81,302.40522751688616,299.99798361333364,298.4361510680508,295.59865681180366,292.8217668019711,289.9469789808191,285.6515123391257,283.643008835225,280.5259709387632,278.5598519873591,276.7215715656754
82,310.2756472566847,308.146385234305,304.54973566782746,301.7137799462037,298.9388508202807,296.06387129022363,291.7495285169084,289.7500596912221,286.6262581542375,284.6777446440883,280.79445572279985
83,318.52657703059805,314.3334386682497,310.740577075003,307.90774084343525,305.13627178715353,302.26286472109814,297.93093929424634,295.94216035562465,292.81315499334903,290.8662991823278,286.97546060832684
84,324.7893031664948,320.5966408931814,316.993500525651,314.1651429136948,311.3983333745312,308.52792997227834,304.17953932276015,302.2027252909545,299.06984339185357,295.0393727308243,293.22861527539396
85,331.1269009226598,329.0496269874723,323.32442734522544,320.5023297237134,317.74173744789385,314.87606034627373,310.5127347622081,308.54945638658876,305.41438758460686,301.37053194002993,299.5727354801096
86,338.7345080905118,335.46622207656867,331.8703476229566,326.90371040598995,324.1506923101575,321.2910421529447,316.91410001097165,314.9656255000246,311.82971073911665,307.77367619606366,305.99031762892014
87,345.5206349665954,341.9600419646527,338.35875962823445,333.3857412738,330.6421561073201,327.79007945708474,323.40123210718224,319.2896655363793,316.1540701838587,314.26752855510506,310.31810041720564
88,352.9092124976637,348.5159386225025,344.9266711955861,342.13661377152584,337.2000231245074,334.3567811690855,329.9574122259024,325.8461996224623,322.712402774872,320.834595308564,316.8846380165494
89,360.4815518841954,355.1498469802266,351.5584756599152,348.78130481198843,343.8413119041779,341.008631535771,336.60045048349815,332.4737174196673,329.3430524853167,325.261859149571,323.5266429671078
